nodeName,Node Level,tvla
n36n,0,-9.877820
n00n,0,-10.199684
n01n,0,-10.252983
n02n,0,-8.111344
n04n,0,5.385598
n05n,0,1.517477
n11n,0,1.437356
n03n,1,2.256103
n06n,1,-7.407119
n12n,1,-6.578117
n18n,1,1.393990
n27n,1,1.409982
odat[0],2,-nan
n07n,2,1.862424
n13n,2,-3.136920
n15n,2,9.432891
n19n,2,-6.927784
n28n,2,-7.007260
n33n,2,-16.064806
n08n,3,-9.255785
n14n,3,12.841402
n20n,3,7.102374
n31n,3,-3.266554
n09n,4,-3.606901
n16n,4,1.180333
n21n,4,-9.794532
n22n,4,1.248620
n29n,4,1.731911
n32n,4,13.368892
n10n,5,14.754345
n17n,5,-5.865965
n23n,5,-4.942978
n24n,5,-2.824738
n30n,5,-6.924355
n34n,5,1.198260
odat[1],6,-nan
n25n,6,14.158754
n35n,6,-5.955054
n26n,7,4.195635
odat[3],7,-nan
odat[2],8,-nan
